Genre,Titles,Ratings,Votings,Duration
Action,1. Gladiator II,6.6, (189K),2h 28m
Action,2. Sonic the Hedgehog 3,7.0, (40K),1h 50m
Action,3. Pushpa: The Rule - Part 2,6.2, (48K),3h 21m
Action,4. The Killer's Game,5.7, (13K),1h 44m
Action,5. Dune: Part Two,8.5, (592K),2h 46m
Action,6. Kraven the Hunter,5.4, (34K),2h 7m
Action,7. Carry-On,6.5, (148K),1h 59m
Action,8. Deadpool & Wolverine,7.6, (462K),2h 8m
Action,9. Civil War,7.0, (224K),1h 49m
Action,10. Venom: The Last Dance,6.0, (91K),1h 50m
Action,11. Furiosa: A Mad Max Saga,7.5, (266K),2h 28m
Action,12. Marco,7.4, (16K),2h 25m
Action,13. The Count of Monte-Cristo,7.6, (28K),2h 58m
Action,14. The Fall Guy,6.8, (208K),2h 6m
Action,15. Arcadian,5.5, (21K),1h 32m
Action,16. Twisters,6.5, (153K),2h 2m
Action,17. The Ministry of Ungentlemanly Warfare,6.8, (127K),2h 2m
Action,18. Borderlands,4.6, (40K),1h 41m
Action,19. Homestead,5.6, (2.3K),1h 52m
Action,20. The Lord of the Rings: The War of the Rohirrim,6.4, (22K),2h 14m
Action,21. The Beekeeper,6.3, (149K),1h 45m
Action,22. Bad Boys: Ride or Die,6.5, (94K),1h 55m
Action,23. Red One,6.3, (132K),2h 3m
Action,24. Elevation,5.6, (11K),1h 31m
Action,25. Rebel Ridge,6.8, (81K),2h 11m
Action,26. Kingdom of the Planet of the Apes,6.9, (145K),2h 25m
Action,27. Love Lies Bleeding,6.6, (53K),1h 44m
Action,28. Transformers One,7.6, (44K),1h 44m
Action,29. Godzilla x Kong: The New Empire,6.1, (117K),1h 55m
Action,30. Werewolves,4.4, (5.1K),1h 33m
Action,31. The Crow,4.7, (30K),1h 51m
Action,32. The Killer,5.7, (11K),2h 6m
Action,33. Blitz,6.2, (14K),2h
Action,34. Madame Web,4.0, (97K),1h 56m
Action,35. Twilight of the Warriors: Walled In,7.0, (7.7K),2h 6m
Action,36. Road House,6.2, (163K),2h 1m
Action,37. Argylle,5.6, (90K),2h 19m
Action,38. Azrael,5.4, (9K),1h 26m
Action,39. The Union,5.4, (51K),1h 47m
Action,40. Monkey Man,6.8, (88K),2h 1m
Action,41. Damsel,6.1, (106K),1h 50m
Action,42. Sunray: Fallen Soldier,4.3, (427),1h 55m
Action,43. Land of Bad,6.6, (49K),1h 53m
Action,44. Solo Leveling: ReAwakening,8.4, (3.2K),2h 1m
Action,45. Dark Match,5.7, (398),1h 34m
Action,46. Absolution,5.2, (6.3K),1h 52m
Action,47. Amaran,8.2, (17K),2h 47m
Action,48. Drive-Away Dolls,5.4, (22K),1h 24m
Action,49. Kung Fu Panda 4,6.3, (65K),1h 34m
Action,50. Maharaja,8.4, (63K),2h 21m
Action,51. Thelma,7.0, (19K),1h 38m
Action,52. Uglies,4.7, (31K),1h 40m
Action,53. Hellboy: The Crooked Man,4.5, (11K),1h 39m
Action,54. The Prosecutor,7.1, (791),1h 57m
Action,55. Lift,5.5, (48K),1h 47m
Action,56. Weekend in Taipei,5.7, (3.6K),1h 40m
Action,57. The Instigators,6.2, (35K),1h 41m
Action,58. Aftermath,5.1, (890),1h 37m
Action,59. Night Call,7.0, (1K),1h 37m
Action,60. Rifle Club,7.0, (3.2K),1h 53m
Action,61. Damaged,4.7, (6.8K),1h 37m
Action,62. Dirty Angels,4.3, (2.7K),1h 44m
Action,63. Brothers,5.4, (12K),1h 29m
Action,64. Beverly Hills Cop: Axel F,6.4, (79K),1h 58m
Action,65. Survive,4.6, (1.7K),1h 30m
Action,66. Pani,6.8, (2.1K),2h 23m
Action,67. Apocalypse Z: The Beginning of the End,6.1, (18K),1h 57m
Action,68. Atlas,5.6, (54K),1h 58m
Action,69. Boneyard,4.1, (4.5K),1h 36m
Action,70. The Silent Hour,6.1, (6K),1h 39m
Action,71. Kalki 2898 AD,7.0, (64K),3h
